tid	readthrough_novelty	gid	max_tpm	log2_max_tpm
ENSG00000278419[1,1,1]	Known	ENSG00000278419	2.624985398518721	1.3923093978099148
ENSG00000204422[1,1,1]	Known	ENSG00000204422	1.1578027219941993	0.21138945345945745
ENSG00000263020[1,1,1]	Known	ENSG00000263020	2.1320552372870876	1.0922448159244025
ENSG00000285565[1,1,1]	Known	ENSG00000285565	12.798143415995119	3.6778626333308524
ENSG00000284116[1,1,1]	Known	ENSG00000284116	2.0446594517450145	1.0318605751028571
ENSG00000284341[1,1,1]	Known	ENSG00000284341	1.0113432256185375	0.016272696413898526
ENSG00000164162[1,11,4]	Known	ENSG00000164162	1.5978831244367462	0.6761618876388723
ENSG00000254996[1,1,1]	Known	ENSG00000254996	1.378580172708524	0.4631831711606803
ENSG00000254996[2,2,1]	Known	ENSG00000254996	2.180124819412994	1.1244107364669031
ENSG00000254996[2,3,1]	Known	ENSG00000254996	1.2053696808542695	0.2694756816759414
ENSG00000285509[2,2,2]	Known	ENSG00000285509	2.0132431131986204	1.009521398304024
ENSG00000285827[1,2,2]	Known	ENSG00000285827	1.3440878280750377	0.42662741266159654
ENSG00000255292[1,1,1]	Known	ENSG00000255292	1.3575778638783826	0.4410349461767396
ENSG00000255292[1,3,3]	Known	ENSG00000255292	1.9430076981965003	0.9582916168923329
ENSG00000255508[1,1,1]	Known	ENSG00000255508	8.559042414334684	3.097449396933778
ENSG00000255508[3,3,1]	Known	ENSG00000255508	25.94391928930399	4.697324535622967
ENSG00000256514[1,1,1]	Known	ENSG00000256514	3.1943166717775733	1.6755073428545526
ENSG00000224916[1,1,1]	Known	ENSG00000224916	1.9063886897771813	0.930842297445073
ENSG00000250151[1,2,3]	Known	ENSG00000250151	4.0930681843763494	2.033182700116517
ENSG00000254870[1,1,1]	Known	ENSG00000254870	2.044701258922565	1.0318900736049434
ENSG00000258643[1,2,2]	Known	ENSG00000258643	4.709034636127007	2.235431334059165
ENSG00000215481[1,2,2]	Known	ENSG00000215481	1.7567220971045707	0.8128859836970553
ENSG00000258311[1,1,1]	Known	ENSG00000258311	6.089165682815359	2.6062445684071176
ENSG00000258311[1,4,3]	Known	ENSG00000258311	1.5496908366780828	0.6319804265448494
ENSG00000258311[2,2,2]	Known	ENSG00000258311	1.2715560540055286	0.3465950617553503
ENSG00000259040[1,1,1]	Known	ENSG00000259040	4.631210887976797	2.2113894534594576
ENSG00000271816[1,1,1]	Known	ENSG00000271816	1.1666896115623606	0.22242079461792347
ENSG00000261740[1,1,1]	Known	ENSG00000261740	98.76731747965725	6.625961821814936
ENSG00000261740[2,4,1]	Known	ENSG00000261740	11.658046189179002	3.5432541176134893
ENSG00000064489[1,1,1]	Known	ENSG00000064489	1.5971583358887866	0.6755073428545525
ENSG00000064489[1,4,1]	Known	ENSG00000064489	2.0446594517450145	1.0318605751028571
ENSG00000064489[1,5,1]	Known	ENSG00000064489	2.592993386138203	1.3746185263617496
ENSG00000250021[1,1,1]	Known	ENSG00000250021	21.820467016182057	4.447610074400379
ENSG00000269955[1,1,1]	Known	ENSG00000269955	1.5496908366780828	0.6319804265448494
ENSG00000275688[1,1,1]	Known	ENSG00000275688	40.06517268089426	5.324276789610567
ENSG00000239704[4,4,3]	Known	ENSG00000239704	7.884616521819691	2.9790405894453844
ENSG00000251503[1,1,1]	Known	ENSG00000251503	2.1216647430239663	1.0851967053625664
ENSG00000251503[1,3,2]	Known	ENSG00000251503	2.2666999115987037	1.1805934053242588
ENSG00000251503[2,2,3]	Known	ENSG00000251503	1.1772586590317518	0.23543133405916497
ENSG00000251503[4,5,2]	Known	ENSG00000251503	1.0696594311337213	0.09715153006141528
ENSG00000254788[1,1,1]	Known	ENSG00000254788	4.089318903490029	2.0318605751028573
ENSG00000254788[1,2,2]	Known	ENSG00000254788	1.3124926992593604	0.3923093978099148
ENSG00000254788[1,4,1]	Known	ENSG00000254788	4.266047805331707	2.0929001326096963
