ENCODE_experiment_id	dataset	sample	sample_display	general_tissue_cell_type	fig1_tissue_label	age	adult	sex	genotype	tissue_or_cell_line	sample_color_hex_code	matching_human_samples	reads_post_talon	ENCODE_alignments_id	ENCODE_reads_id	ENCODE_unfiltered_alignments_id
ENCSR512EWP	adrenal_4d_m_2	adrenal_4d	Adrenal gland PND4	adrenal gland	adrenal gland	4d	True	m	b6/cast	tissue	#f4e4df	['adrenal gland']	832552	ENCFF571ZLW	ENCFF177RGM	ENCFF639UOD
ENCSR512EWP	adrenal_4d_m_1	adrenal_4d	Adrenal gland PND4	adrenal gland	adrenal gland	4d	True	m	b6/cast	tissue	#f4e4df	['adrenal gland']	707726	ENCFF545VGM	ENCFF141ZHE	ENCFF034HGS
ENCSR909NPF	hippocampus_2mo_f_1	hippocampus_2mo	Hippocampus PNM2	hippocampus	hippocampus	2mo	True	f	b6/cast	tissue	#c96579	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	836240	ENCFF254PCW	ENCFF223JJA	ENCFF337TQR
ENCSR909NPF	hippocampus_2mo_f_2	hippocampus_2mo	Hippocampus PNM2	hippocampus	hippocampus	2mo	True	f	b6/cast	tissue	#c96579	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	752291	ENCFF212YBY	ENCFF326JTG	ENCFF987ICP
ENCSR893GCO	adrenal_25d_f_2	adrenal_25d	Adrenal gland PND25	adrenal gland	adrenal gland	25d	True	f	b6/cast	tissue	#d39481	['adrenal gland']	770041	ENCFF637NBP	ENCFF589EMD	ENCFF587AMI
ENCSR893GCO	adrenal_25d_f_1	adrenal_25d	Adrenal gland PND25	adrenal gland	adrenal gland	25d	True	f	b6/cast	tissue	#d39481	['adrenal gland']	426150	ENCFF833EUH	ENCFF167GYW	ENCFF444SZT
ENCSR550KPM	cortex_18-20mo_f_1	cortex_18-20mo	Cortex PNM18-20	cortex	cortex	18-20mo	True	f	b6/cast	tissue	#7c5290	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	871524	ENCFF054XPK	ENCFF520HCL	ENCFF436XRC
ENCSR550KPM	cortex_18-20mo_f_2	cortex_18-20mo	Cortex PNM18-20	cortex	cortex	18-20mo	True	f	b6/cast	tissue	#7c5290	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	839150	ENCFF269APD	ENCFF132MEJ	ENCFF521YYK
ENCSR842KTN	heart_14d_m_2	heart_14d	Heart PND14	heart	heart	14d	True	m	b6/cast	tissue	#c7ddb9	['heart']	1110707	ENCFF867QMB	ENCFF860CBL	ENCFF594CLT
ENCSR842KTN	heart_14d_m_1	heart_14d	Heart PND14	heart	heart	14d	True	m	b6/cast	tissue	#c7ddb9	['heart']	1107678	ENCFF953BLN	ENCFF584WWA	ENCFF747EXS
ENCSR649MEZ	adrenal_2mo_m_2	adrenal_2mo	Adrenal gland PNM2	adrenal gland	adrenal gland	2mo	True	m	b6/cast	tissue	#bd5f42	['adrenal gland']	661982	ENCFF943KQU	ENCFF916NVH	ENCFF367SIB
ENCSR649MEZ	adrenal_2mo_m_1	adrenal_2mo	Adrenal gland PNM2	adrenal gland	adrenal gland	2mo	True	m	b6/cast	tissue	#bd5f42	['adrenal gland']	829956	ENCFF069HPA	ENCFF122PGZ	ENCFF529OQN
ENCSR271ULH	adrenal_4d_f_2	adrenal_4d	Adrenal gland PND4	adrenal gland	adrenal gland	4d	True	f	b6/cast	tissue	#f4e4df	['adrenal gland']	1112762	ENCFF983CFK	ENCFF626SLN	ENCFF106PGY
ENCSR271ULH	adrenal_4d_f_1	adrenal_4d	Adrenal gland PND4	adrenal gland	adrenal gland	4d	True	f	b6/cast	tissue	#f4e4df	['adrenal gland']	1220468	ENCFF402MIP	ENCFF977AQV	ENCFF633GXD
ENCSR084MKR	adrenal_36d_f_2	adrenal_36d	Adrenal gland PND36	adrenal gland	adrenal gland	36d	True	f	b6/cast	tissue	#c87961	['adrenal gland']	453761	ENCFF898YPG	ENCFF604SVZ	ENCFF399RPQ
ENCSR084MKR	adrenal_36d_f_1	adrenal_36d	Adrenal gland PND36	adrenal gland	adrenal gland	36d	True	f	b6/cast	tissue	#c87961	['adrenal gland']	1223776	ENCFF083AGY	ENCFF100OAR	ENCFF222VGG
ENCSR698DOB	adrenal_10d_m_2	adrenal_10d	Adrenal gland PND10	adrenal gland	adrenal gland	10d	True	m	b6/cast	tissue	#e9cac0	['adrenal gland']	1407511	ENCFF261QFC	ENCFF856RHM	ENCFF674HLT
ENCSR698DOB	adrenal_10d_m_1	adrenal_10d	Adrenal gland PND10	adrenal gland	adrenal gland	10d	True	m	b6/cast	tissue	#e9cac0	['adrenal gland']	971827	ENCFF336YOF	ENCFF303OLU	ENCFF676ASW
ENCSR852HRM	adrenal_2mo_f_1	adrenal_2mo	Adrenal gland PNM2	adrenal gland	adrenal gland	2mo	True	f	b6/cast	tissue	#bd5f42	['adrenal gland']	1277310	ENCFF291MJO	ENCFF429RCV	ENCFF660EKE
ENCSR852HRM	adrenal_2mo_f_2	adrenal_2mo	Adrenal gland PNM2	adrenal gland	adrenal gland	2mo	True	f	b6/cast	tissue	#bd5f42	['adrenal gland']	520388	ENCFF685SKU	ENCFF387GTW	ENCFF242QIP
ENCSR665XLM	adrenal_10d_f_1	adrenal_10d	Adrenal gland PND10	adrenal gland	adrenal gland	10d	True	f	b6/cast	tissue	#e9cac0	['adrenal gland']	606677	ENCFF550NPJ	ENCFF321AJK	ENCFF756SOZ
ENCSR665XLM	adrenal_10d_f_2	adrenal_10d	Adrenal gland PND10	adrenal gland	adrenal gland	10d	True	f	b6/cast	tissue	#e9cac0	['adrenal gland']	788654	ENCFF218PAQ	ENCFF863AGD	ENCFF276HLF
ENCSR588IRT	gastroc_36d_f_2	gastroc_36d	Gastrocnemius PND36	muscle	muscle	36d	True	f	b6/cast	tissue	#6d7eae	['muscle']	1748822	ENCFF882CXN	ENCFF294TJX	ENCFF608LPM
ENCSR588IRT	gastroc_36d_f_1	gastroc_36d	Gastrocnemius PND36	muscle	muscle	36d	True	f	b6/cast	tissue	#6d7eae	['muscle']	853589	ENCFF183WGH	ENCFF524YTF	ENCFF558RAL
ENCSR861RCH	cortex_2mo_f_1	cortex_2mo	Cortex PNM2	cortex	cortex	2mo	True	f	b6/cast	tissue	#8f6ba0	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	686395	ENCFF484SWE	ENCFF605NQH	ENCFF101RZW
ENCSR861RCH	cortex_2mo_f_2	cortex_2mo	Cortex PNM2	cortex	cortex	2mo	True	f	b6/cast	tissue	#8f6ba0	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	858276	ENCFF981KWX	ENCFF937WKF	ENCFF413JMT
ENCSR223AZQ	gastroc_18-20mo_f_2	gastroc_18-20mo	Gastrocnemius PNM18-20	muscle	muscle	18-20mo	True	f	b6/cast	tissue	#334a8d	['muscle']	1017384	ENCFF523LUA	ENCFF028QQV	ENCFF794AWQ
ENCSR223AZQ	gastroc_18-20mo_f_1	gastroc_18-20mo	Gastrocnemius PNM18-20	muscle	muscle	18-20mo	True	f	b6/cast	tissue	#334a8d	['muscle']	1175829	ENCFF033HBE	ENCFF281GTL	ENCFF463IFJ
ENCSR152PAT	hippocampus_18-20mo_m_2	hippocampus_18-20mo	Hippocampus PNM18-20	hippocampus	hippocampus	18-20mo	True	m	b6/cast	tissue	#c04b63	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1089843	ENCFF600WNB	ENCFF175BNQ	ENCFF662KKK
ENCSR152PAT	hippocampus_18-20mo_m_1	hippocampus_18-20mo	Hippocampus PNM18-20	hippocampus	hippocampus	18-20mo	True	m	b6/cast	tissue	#c04b63	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	649547	ENCFF128HJT	ENCFF532MMA	ENCFF064YWB
ENCSR734WEK	gastroc_10d_m_1	gastroc_10d	Gastrocnemius PND10	muscle	muscle	10d	True	m	b6/cast	tissue	#c5cbde	['muscle']	1172413	ENCFF495MGN	ENCFF047OYU	ENCFF233QCR
