ENCODE_experiment_id	dataset	sample	sample_display	general_tissue_cell_type	fig1_tissue_label	age	adult	sex	genotype	tissue_or_cell_line	sample_color_hex_code	matching_human_samples	reads_post_talon	ENCODE_alignments_id	ENCODE_reads_id	ENCODE_unfiltered_alignments_id
ENCSR060OTU	hippocampus_5x_f_1_1	hippocampus	Hippocampus	hippocampus	hippocampus		True	f	5xfad	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1862373	ENCFF033LIM	ENCFF448KBZ	ENCFF412YGK
ENCSR060OTU	hippocampus_5x_f_1_2	hippocampus	Hippocampus	hippocampus	hippocampus		True	f	5xfad	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1704633	ENCFF794EDV	ENCFF890RGD	ENCFF466LIU
ENCSR131CES	cortex_wt_f_1_1	cortex	Cortex	cortex	cortex		True	f	b6n	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	2016725	ENCFF505EPC	ENCFF046XAX	ENCFF607CUC
ENCSR131CES	cortex_wt_f_1_2	cortex	Cortex	cortex	cortex		True	f	b6n	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	2259132	ENCFF525AQR	ENCFF319GBG	ENCFF609BFL
ENCSR082JMB	forelimb_e13_1_1	forelimb_e13	Forelimb E13	forelimb	forelimb	e13			b6	tissue	#01ced0	['muscle', 'h9_osteocyte']	682509	ENCFF479KNZ	ENCFF417EKT	ENCFF804XPQ
ENCSR418ZYU	c2c12_myoblast_2_1	c2c12_myoblast	C2C12	C2C12	C2C12			f	c3h	cell_line	#ca79a7	['muscle']	735077	ENCFF163ANR	ENCFF238DPX	ENCFF423BZA
ENCSR418ZYU	c2c12_myoblast_2_2	c2c12_myoblast	C2C12	C2C12	C2C12			f	c3h	cell_line	#ca79a7	['muscle']	791850	ENCFF999UDH	ENCFF008ATT	ENCFF176BGR
ENCSR644GDT	cortex_wt_m_2_1	cortex	Cortex	cortex	cortex		True	m	b6n	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	2538854	ENCFF405HLV	ENCFF476MLA	ENCFF346JJP
ENCSR644GDT	cortex_wt_m_2_2	cortex	Cortex	cortex	cortex		True	m	b6n	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	2740617	ENCFF149EOM	ENCFF683BZL	ENCFF699JUB
ENCSR411ZHA	hippocampus_wt_f_1_1	hippocampus	Hippocampus	hippocampus	hippocampus		True	f	b6n	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1782274	ENCFF316LYP	ENCFF228VBQ	ENCFF362HIV
ENCSR411ZHA	hippocampus_wt_f_1_2	hippocampus	Hippocampus	hippocampus	hippocampus		True	f	b6n	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	2000242	ENCFF041PKK	ENCFF978EIJ	ENCFF242EDW
ENCSR404AEI	hippocampus_5x_m_1_1	hippocampus	Hippocampus	hippocampus	hippocampus		True	m	5xfad	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	2928622	ENCFF008ZCM	ENCFF997NDX	ENCFF076JGT
ENCSR404AEI	hippocampus_5x_m_1_2	hippocampus	Hippocampus	hippocampus	hippocampus		True	m	5xfad	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	2879293	ENCFF458RBM	ENCFF110OOL	ENCFF292SMA
ENCSR674BKT	cortex_5x_m_1_1	cortex	Cortex	cortex	cortex		True	m	5xfad	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	2120771	ENCFF550PML	ENCFF201HBC	ENCFF016RAT
ENCSR674BKT	cortex_5x_m_1_2	cortex	Cortex	cortex	cortex		True	m	5xfad	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	3232205	ENCFF244NTP	ENCFF095CHU	ENCFF045LNO
ENCSR735IBE	adrenal_gland_1_1	adrenal	Adrenal gland	adrenal gland	adrenal gland		True	f	b6	tissue	#8e361b	['adrenal gland']	810239	ENCFF498FMF	ENCFF560ONE	ENCFF540TLC
ENCSR735IBE	adrenal_gland_1_2	adrenal	Adrenal gland	adrenal gland	adrenal gland		True	f	b6	tissue	#8e361b	['adrenal gland']	587861	ENCFF134BVW	ENCFF445VZL	ENCFF343IGL
